x,y
53,94
95,69
85,92
39,66
22,72
26,61
48,58
68,30
92,97
70,76
32,49
19,17
24,89
47,30
24,97
83,24
27,32
36,77
46,55
69,88
79,28
72,21
24,99
20,23
82,70
41,20
30,39
58,80
48,78
60,52
70,21
94,86
66,83
91,73
91,20
83,67
93,94
71,43
25,99
53,21
100,16
77,51
63,41
56,73
28,15
72,75
94,14
97,64
48,99
18,71
23,16
76,21
32,43
44,46
74,54
88,13
55,44
61,33
30,59
90,71
78,66
35,99
33,32
96,69
69,61
13,69
46,13
47,30
49,86
92,90
27,88
82,99
30,69
21,86
61,24
49,90
70,100
88,67
29,40
100,24
94,94
13,38
77,47
99,43
15,22
43,30
81,74
54,92
17,76
41,35
71,16
86,52
67,85
38,16
33,24
97,16
60,20
80,22
87,36
